BoundaryC8   Crofton2   Crofton4   Matlab   MatlabPi
4.42117 0 -0.148972 -0.865569 0.134431
4.79409 0 0.204581 -0.802544 0.197456
4.42117 0 -0.148972 -1.03937 -0.0393662
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.863023 0.136977
4.60763 0 0.0278048 -0.863023 0.136977
4.42117 0 -0.148972 -1.0973 -0.0972986
4.60763 0 0.0278048 -0.891989 0.108011
4.60763 0 0.0278048 -0.863023 0.136977
4.42117 0 -0.148972 -0.923501 0.0764986
4.79409 0 0.204581 -0.860476 0.139524
4.60763 0 0.0278048 -0.978887 0.0211126
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.863023 0.136977
4.60763 0 0.0278048 -0.80509 0.19491
4.42117 0 -0.148972 -0.923501 0.0764986
4.60763 0 0.0278048 -0.891989 0.108011
4.79409 0 0.204581 -0.860476 0.139524
4.79409 0 0.204581 -0.860476 0.139524
4.60763 0 0.0278048 -0.978887 0.0211126
4.60763 0 0.0278048 -0.863023 0.136977
4.60763 0 0.0278048 -0.863023 0.136977
4.42117 0 -0.148972 -0.865569 0.134431
4.60763 0 0.0278048 -0.978887 0.0211126
4.60763 0 0.0278048 -0.863023 0.136977
4.42117 0 -0.148972 -1.03937 -0.0393662
4.79409 0 0.204581 -0.802544 0.197456
4.79409 0 0.204581 -0.802544 0.197456
4.79409 0 0.204581 -0.860476 0.139524
4.79409 0 0.204581 -0.860476 0.139524
4.42117 0 -0.148972 -0.923501 0.0764986
4.42117 0 -0.148972 -0.981434 0.0185662
4.42117 0 -0.148972 -0.981434 0.0185662
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.978887 0.0211126
4.60763 0 0.0278048 -0.920955 0.079045
4.42117 0 -0.148972 -0.981434 0.0185662
4.42117 0 -0.148972 -0.981434 0.0185662
4.60763 0 0.0278048 -0.863023 0.136977
4.60763 0 0.0278048 -0.863023 0.136977
4.42117 0 -0.148972 -0.865569 0.134431
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.863023 0.136977
4.60763 0 0.0278048 -0.978887 0.0211126
4.60763 0 0.0278048 -0.920955 0.079045
4.42117 0 -0.148972 -0.981434 0.0185662
4.42117 0 -0.148972 -0.923501 0.0764986
4.42117 0 -0.148972 -0.923501 0.0764986
4.79409 0 0.204581 -0.860476 0.139524
4.42117 0 -0.148972 -0.923501 0.0764986
4.79409 0 0.204581 -0.860476 0.139524
4.42117 0 -0.148972 -0.923501 0.0764986
4.60763 0 0.0278048 -0.978887 0.0211126
4.60763 0 0.0278048 -0.863023 0.136977
4.60763 0 0.0278048 -0.978887 0.0211126
4.60763 0 0.0278048 -0.920955 0.079045
4.42117 0 -0.148972 -0.923501 0.0764986
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.978887 0.0211126
4.60763 0 0.0278048 -0.80509 0.19491
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.863023 0.136977
4.60763 0 0.0278048 -0.920955 0.079045
4.42117 0 -0.148972 -0.865569 0.134431
4.60763 0 0.0278048 -0.978887 0.0211126
4.60763 0 0.0278048 -0.863023 0.136977
4.79409 0 0.204581 -0.802544 0.197456
4.60763 0 0.0278048 -0.920955 0.079045
4.42117 0 -0.148972 -0.981434 0.0185662
4.79409 0 0.204581 -0.918408 0.0815915
4.60763 0 0.0278048 -0.863023 0.136977
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.863023 0.136977
4.42117 0 -0.148972 -1.0973 -0.0972986
4.42117 0 -0.148972 -0.865569 0.134431
4.79409 0 0.204581 -0.860476 0.139524
4.42117 0 -0.148972 -1.03937 -0.0393662
4.60763 0 0.0278048 -0.920955 0.079045
4.79409 0 0.204581 -0.715645 0.284355
4.42117 0 -0.148972 -0.865569 0.134431
4.42117 0 -0.148972 -0.981434 0.0185662
4.60763 0 0.0278048 -0.978887 0.0211126
4.60763 0 0.0278048 -0.863023 0.136977
4.42117 0 -0.148972 -0.865569 0.134431
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.80509 0.19491
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.920955 0.079045
4.42117 0 -0.148972 -0.923501 0.0764986
4.60763 0 0.0278048 -0.978887 0.0211126
4.42117 0 -0.148972 -0.923501 0.0764986
4.42117 0 -0.148972 -0.865569 0.134431
4.60763 0 0.0278048 -0.863023 0.136977
4.79409 0 0.204581 -0.947375 0.0526253
4.60763 0 0.0278048 -0.891989 0.108011
4.79409 0 0.204581 -0.860476 0.139524
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.920955 0.079045
4.42117 0 -0.148972 -0.923501 0.0764986
4.60763 0 0.0278048 -0.978887 0.0211126
4.42117 0 -0.148972 -0.981434 0.0185662
4.60763 0 0.0278048 -0.863023 0.136977
4.42117 0 -0.148972 -0.923501 0.0764986
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.80509 0.19491
4.60763 0 0.0278048 -0.863023 0.136977
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.978887 0.0211126
4.79409 0 0.204581 -0.802544 0.197456
4.42117 0 -0.148972 -0.981434 0.0185662
4.42117 0 -0.148972 -0.981434 0.0185662
4.60763 0 0.0278048 -0.863023 0.136977
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.863023 0.136977
4.42117 0 -0.148972 -0.981434 0.0185662
4.60763 0 0.0278048 -0.949921 0.0500788
4.79409 0 0.204581 -0.860476 0.139524
4.60763 0 0.0278048 -0.863023 0.136977
4.42117 0 -0.148972 -0.923501 0.0764986
4.42117 0 -0.148972 -0.865569 0.134431
4.60763 0 0.0278048 -0.978887 0.0211126
4.60763 0 0.0278048 -0.863023 0.136977
4.42117 0 -0.148972 -0.865569 0.134431
4.79409 0 0.204581 -0.918408 0.0815915
4.79409 0 0.204581 -0.860476 0.139524
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.863023 0.136977
4.60763 0 0.0278048 -0.80509 0.19491
4.42117 0 -0.148972 -0.981434 0.0185662
4.60763 0 0.0278048 -0.920955 0.079045
4.79409 0 0.204581 -0.860476 0.139524
4.42117 0 -0.148972 -0.981434 0.0185662
4.60763 0 0.0278048 -0.891989 0.108011
4.79409 0 0.204581 -0.686679 0.313321
4.79409 0 0.204581 -0.860476 0.139524
4.79409 0 0.204581 -0.860476 0.139524
4.60763 0 0.0278048 -0.863023 0.136977
4.42117 0 -0.148972 -0.923501 0.0764986
4.60763 0 0.0278048 -0.863023 0.136977
4.60763 0 0.0278048 -0.80509 0.19491
4.60763 0 0.0278048 -0.978887 0.0211126
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.978887 0.0211126
4.42117 0 -0.148972 -0.923501 0.0764986
4.60763 0 0.0278048 -0.978887 0.0211126
4.79409 0 0.204581 -0.744611 0.255389
4.60763 0 0.0278048 -0.978887 0.0211126
4.42117 0 -0.148972 -1.03937 -0.0393662
4.79409 0 0.204581 -0.976341 0.0236591
4.79409 0 0.204581 -0.802544 0.197456
4.60763 0 0.0278048 -0.978887 0.0211126
4.42117 0 -0.148972 -1.03937 -0.0393662
4.42117 0 -0.148972 -0.865569 0.134431
4.42117 0 -0.148972 -0.923501 0.0764986
4.79409 0 0.204581 -0.860476 0.139524
4.60763 0 0.0278048 -0.978887 0.0211126
4.60763 0 0.0278048 -0.920955 0.079045
4.79409 0 0.204581 -0.860476 0.139524
4.79409 0 0.204581 -0.802544 0.197456
4.42117 0 -0.148972 -0.807637 0.192363
4.42117 0 -0.148972 -0.981434 0.0185662
4.42117 0 -0.148972 -0.865569 0.134431
4.42117 0 -0.148972 -0.923501 0.0764986
4.42117 0 -0.148972 -0.865569 0.134431
4.42117 0 -0.148972 -0.923501 0.0764986
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.863023 0.136977
4.60763 0 0.0278048 -0.863023 0.136977
4.79409 0 0.204581 -0.802544 0.197456
4.60763 0 0.0278048 -0.978887 0.0211126
4.42117 0 -0.148972 -0.981434 0.0185662
4.42117 0 -0.148972 -1.0973 -0.0972986
4.60763 0 0.0278048 -0.863023 0.136977
4.79409 0 0.204581 -0.860476 0.139524
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.978887 0.0211126
4.79409 0 0.204581 -0.918408 0.0815915
4.60763 0 0.0278048 -0.863023 0.136977
4.60763 0 0.0278048 -0.80509 0.19491
4.42117 0 -0.148972 -0.981434 0.0185662
4.42117 0 -0.148972 -0.981434 0.0185662
4.60763 0 0.0278048 -0.80509 0.19491
4.42117 0 -0.148972 -0.923501 0.0764986
4.60763 0 0.0278048 -0.863023 0.136977
4.79409 0 0.204581 -0.802544 0.197456
4.79409 0 0.204581 -0.860476 0.139524
4.79409 0 0.204581 -0.860476 0.139524
4.42117 0 -0.148972 -0.865569 0.134431
4.42117 0 -0.148972 -0.981434 0.0185662
4.60763 0 0.0278048 -0.978887 0.0211126
4.42117 0 -0.148972 -0.981434 0.0185662
4.79409 0 0.204581 -0.860476 0.139524
4.79409 0 0.204581 -0.860476 0.139524
4.60763 0 0.0278048 -0.978887 0.0211126
4.60763 0 0.0278048 -0.891989 0.108011
4.60763 0 0.0278048 -0.863023 0.136977
4.60763 0 0.0278048 -0.863023 0.136977
4.42117 0 -0.148972 -0.981434 0.0185662
4.42117 0 -0.148972 -0.981434 0.0185662
4.60763 0 0.0278048 -0.863023 0.136977
4.42117 0 -0.148972 -0.865569 0.134431
4.60763 0 0.0278048 -0.863023 0.136977
4.60763 0 0.0278048 -0.920955 0.079045
4.79409 0 0.204581 -0.802544 0.197456
4.42117 0 -0.148972 -1.03937 -0.0393662
4.42117 0 -0.148972 -0.923501 0.0764986
4.42117 0 -0.148972 -0.865569 0.134431
4.60763 0 0.0278048 -0.949921 0.0500788
4.42117 0 -0.148972 -0.923501 0.0764986
4.60763 0 0.0278048 -0.920955 0.079045
4.42117 0 -0.148972 -0.923501 0.0764986
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.863023 0.136977
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.920955 0.079045
4.79409 0 0.204581 -0.860476 0.139524
4.42117 0 -0.148972 -0.981434 0.0185662
4.60763 0 0.0278048 -0.978887 0.0211126
4.79409 0 0.204581 -0.802544 0.197456
4.42117 0 -0.148972 -1.0973 -0.0972986
4.42117 0 -0.148972 -1.03937 -0.0393662
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.978887 0.0211126
4.60763 0 0.0278048 -0.863023 0.136977
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.863023 0.136977
4.42117 0 -0.148972 -0.981434 0.0185662
4.79409 0 0.204581 -0.83151 0.16849
4.60763 0 0.0278048 -0.978887 0.0211126
4.42117 0 -0.148972 -0.865569 0.134431
4.60763 0 0.0278048 -0.891989 0.108011
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.863023 0.136977
4.42117 0 -0.148972 -0.923501 0.0764986
4.79409 0 0.204581 -0.744611 0.255389
4.42117 0 -0.148972 -0.923501 0.0764986
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.920955 0.079045
4.42117 0 -0.148972 -0.923501 0.0764986
4.42117 0 -0.148972 -1.03937 -0.0393662
4.79409 0 0.204581 -0.860476 0.139524
4.60763 0 0.0278048 -0.978887 0.0211126
4.60763 0 0.0278048 -0.863023 0.136977
4.42117 0 -0.148972 -0.981434 0.0185662
4.60763 0 0.0278048 -0.863023 0.136977
4.42117 0 -0.148972 -0.865569 0.134431
4.42117 0 -0.148972 -0.865569 0.134431
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.863023 0.136977
4.42117 0 -0.148972 -0.865569 0.134431
4.60763 0 0.0278048 -0.978887 0.0211126
4.60763 0 0.0278048 -0.863023 0.136977
4.60763 0 0.0278048 -0.978887 0.0211126
4.79409 0 0.204581 -0.744611 0.255389
4.42117 0 -0.148972 -1.03937 -0.0393662
4.79409 0 0.204581 -0.802544 0.197456
4.60763 0 0.0278048 -0.863023 0.136977
4.60763 0 0.0278048 -0.920955 0.079045
4.79409 0 0.204581 -0.860476 0.139524
4.60763 0 0.0278048 -0.920955 0.079045
4.42117 0 -0.148972 -1.03937 -0.0393662
4.60763 0 0.0278048 -0.920955 0.079045
4.79409 0 0.204581 -0.802544 0.197456
4.60763 0 0.0278048 -0.978887 0.0211126
4.60763 0 0.0278048 -0.978887 0.0211126
4.60763 0 0.0278048 -0.863023 0.136977
4.79409 0 0.204581 -0.802544 0.197456
4.60763 0 0.0278048 -0.920955 0.079045
4.42117 0 -0.148972 -0.865569 0.134431
4.42117 0 -0.148972 -0.923501 0.0764986
4.42117 0 -0.148972 -0.865569 0.134431
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.863023 0.136977
4.42117 0 -0.148972 -0.981434 0.0185662
4.53039 -0.5 -0.0454185 -0.899947 0.100053
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.920955 0.079045
4.79409 0 0.204581 -0.860476 0.139524
4.42117 0 -0.148972 -0.923501 0.0764986
4.79409 0 0.204581 -0.860476 0.139524
4.60763 0 0.0278048 -0.863023 0.136977
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.863023 0.136977
4.42117 0 -0.148972 -0.923501 0.0764986
4.42117 0 -0.148972 -0.981434 0.0185662
4.60763 0 0.0278048 -0.863023 0.136977
4.42117 0 -0.148972 -0.981434 0.0185662
4.60763 0 0.0278048 -0.978887 0.0211126
4.42117 0 -0.148972 -0.981434 0.0185662
4.60763 0 0.0278048 -0.863023 0.136977
4.60763 0 0.0278048 -0.920955 0.079045
4.79409 0 0.204581 -0.860476 0.139524
4.60763 0 0.0278048 -0.80509 0.19491
4.42117 0 -0.148972 -0.923501 0.0764986
4.79409 0 0.204581 -0.860476 0.139524
4.42117 0 -0.148972 -0.865569 0.134431
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.949921 0.0500788
4.60763 0 0.0278048 -0.949921 0.0500788
4.42117 0 -0.148972 -0.807637 0.192363
4.60763 0 0.0278048 -0.978887 0.0211126
4.42117 0 -0.148972 -1.03937 -0.0393662
4.60763 0 0.0278048 -0.863023 0.136977
4.42117 0 -0.148972 -0.865569 0.134431
4.42117 0 -0.148972 -0.865569 0.134431
4.42117 0 -0.148972 -1.03937 -0.0393662
4.79409 0 0.204581 -0.744611 0.255389
4.42117 0 -0.148972 -0.923501 0.0764986
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.920955 0.079045
4.42117 0 -0.148972 -0.807637 0.192363
4.60763 0 0.0278048 -0.920955 0.079045
4.79409 0 0.204581 -0.889442 0.110558
4.42117 0 -0.148972 -1.03937 -0.0393662
4.79409 0 0.204581 -0.860476 0.139524
4.42117 0 -0.148972 -0.981434 0.0185662
4.42117 0 -0.148972 -0.923501 0.0764986
4.60763 0 0.0278048 -0.978887 0.0211126
4.60763 0 0.0278048 -0.863023 0.136977
4.60763 0 0.0278048 -0.920955 0.079045
4.79409 0 0.204581 -0.860476 0.139524
4.60763 0 0.0278048 -0.863023 0.136977
4.42117 0 -0.148972 -0.923501 0.0764986
4.42117 0 -0.148972 -0.923501 0.0764986
4.42117 0 -0.148972 -0.981434 0.0185662
4.42117 0 -0.148972 -0.981434 0.0185662
4.42117 0 -0.148972 -0.865569 0.134431
4.60763 0 0.0278048 -0.978887 0.0211126
4.42117 0 -0.148972 -0.981434 0.0185662
4.60763 0 0.0278048 -0.863023 0.136977
4.60763 0 0.0278048 -0.978887 0.0211126
4.42117 0 -0.148972 -0.981434 0.0185662
4.42117 0 -0.148972 -0.865569 0.134431
4.42117 0 -0.148972 -0.865569 0.134431
4.60763 0 0.0278048 -0.80509 0.19491
4.42117 0 -0.148972 -0.923501 0.0764986
4.42117 0 -0.148972 -0.865569 0.134431
4.60763 0 0.0278048 -0.920955 0.079045
4.42117 0 -0.148972 -0.923501 0.0764986
4.42117 0 -0.148972 -0.865569 0.134431
4.42117 0 -0.148972 -0.865569 0.134431
4.42117 0 -0.148972 -0.981434 0.0185662
4.60763 0 0.0278048 -0.920955 0.079045
4.42117 0 -0.148972 -0.981434 0.0185662
4.79409 0 0.204581 -0.744611 0.255389
4.42117 0 -0.148972 -0.923501 0.0764986
4.60763 0 0.0278048 -0.80509 0.19491
4.60763 0 0.0278048 -0.978887 0.0211126
4.60763 0 0.0278048 -0.863023 0.136977
4.42117 0 -0.148972 -0.865569 0.134431
4.42117 0 -0.148972 -0.923501 0.0764986
4.60763 0 0.0278048 -0.863023 0.136977
4.60763 0 0.0278048 -0.863023 0.136977
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.863023 0.136977
4.60763 0 0.0278048 -0.978887 0.0211126
4.79409 0 0.204581 -0.860476 0.139524
4.42117 0 -0.148972 -0.923501 0.0764986
4.60763 0 0.0278048 -0.863023 0.136977
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.978887 0.0211126
4.79409 0 0.204581 -0.976341 0.0236591
4.79409 0 0.204581 -0.744611 0.255389
4.60763 0 0.0278048 -0.978887 0.0211126
4.60763 0 0.0278048 -0.978887 0.0211126
4.42117 0 -0.148972 -0.865569 0.134431
4.53039 -0.5 -0.0454185 -0.899947 0.100053
4.79409 0 0.204581 -0.802544 0.197456
4.60763 0 0.0278048 -0.920955 0.079045
4.42117 0 -0.148972 -0.923501 0.0764986
4.42117 0 -0.148972 -0.981434 0.0185662
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.920955 0.079045
4.42117 0 -0.148972 -0.981434 0.0185662
4.79409 0 0.204581 -0.744611 0.255389
4.79409 0 0.204581 -0.83151 0.16849
4.42117 0 -0.148972 -0.923501 0.0764986
4.60763 0 0.0278048 -0.920955 0.079045
4.42117 0 -0.148972 -0.923501 0.0764986
4.60763 0 0.0278048 -0.863023 0.136977
4.79409 0 0.204581 -0.860476 0.139524
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.920955 0.079045
4.42117 0 -0.148972 -0.865569 0.134431
4.79409 0 0.204581 -0.889442 0.110558
4.60763 0 0.0278048 -0.863023 0.136977
4.79409 0 0.204581 -0.860476 0.139524
4.60763 0 0.0278048 -0.863023 0.136977
4.42117 0 -0.148972 -0.865569 0.134431
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.978887 0.0211126
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.920955 0.079045
4.42117 0 -0.148972 -1.03937 -0.0393662
4.60763 0 0.0278048 -0.920955 0.079045
4.79409 0 0.204581 -0.802544 0.197456
4.42117 0 -0.148972 -1.03937 -0.0393662
4.79409 0 0.204581 -0.802544 0.197456
4.60763 0 0.0278048 -0.863023 0.136977
4.42117 0 -0.148972 -0.981434 0.0185662
4.60763 0 0.0278048 -0.863023 0.136977
4.60763 0 0.0278048 -0.978887 0.0211126
4.42117 0 -0.148972 -0.923501 0.0764986
4.42117 0 -0.148972 -0.981434 0.0185662
4.42117 0 -0.148972 -0.981434 0.0185662
4.42117 0 -0.148972 -0.923501 0.0764986
4.60763 0 0.0278048 -0.920955 0.079045
4.42117 0 -0.148972 -0.923501 0.0764986
4.60763 0 0.0278048 -0.863023 0.136977
4.60763 0 0.0278048 -0.949921 0.0500788
4.60763 0 0.0278048 -0.978887 0.0211126
4.42117 0 -0.148972 -0.981434 0.0185662
4.79409 0 0.204581 -0.860476 0.139524
4.79409 0 0.204581 -0.860476 0.139524
4.60763 0 0.0278048 -0.920955 0.079045
4.60763 0 0.0278048 -0.978887 0.0211126
4.79409 0 0.204581 -0.860476 0.139524
