Reference   BoundaryC8   Crofton2   Crofton4   Matlab   MatlabPi
314.159 328.635 314.159 314.247 311.357 314.499
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.049 314.159 313.691 311.258 314.4
314.159 329.22 314.159 314.802 311.456 314.598
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.635 314.159 314.247 311.63 314.772
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.635 314.159 314.247 311.357 314.499
314.159 329.22 314.159 314.802 311.456 314.598
314.159 329.22 314.159 314.802 311.456 314.598
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.049 314.159 313.691 311.44 314.582
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.049 314.159 313.691 310.894 314.036
314.159 329.22 314.159 314.802 311.638 314.78
314.159 329.22 314.159 314.802 311.638 314.78
314.159 329.22 314.159 314.802 311.456 314.598
314.159 329.22 314.159 314.802 311.456 314.598
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.049 314.159 313.691 311.44 314.582
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.049 314.159 313.691 311.258 314.4
314.159 329.22 314.159 314.802 311.456 314.598
314.159 328.049 314.159 313.691 311.258 314.4
314.159 329.22 314.159 314.802 311.456 314.598
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.635 314.159 314.247 311.63 314.772
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.049 314.159 313.691 311.44 314.582
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.635 314.159 314.247 311.448 314.59
314.159 329.22 314.159 314.802 311.638 314.78
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.049 314.159 313.691 311.076 314.218
314.159 329.22 314.159 314.802 311.274 314.416
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.049 314.159 313.691 310.712 313.854
314.159 328.049 314.159 313.691 311.44 314.582
314.159 329.22 314.159 314.802 311.456 314.598
314.159 328.049 314.159 313.691 310.894 314.036
314.159 328.635 314.159 314.247 311.266 314.408
314.159 329.22 314.159 314.802 311.911 315.053
314.159 328.049 314.159 313.691 311.44 314.582
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.049 314.159 313.691 311.44 314.582
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.63 314.772
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.049 314.159 313.691 311.44 314.582
314.159 328.635 314.159 314.247 311.448 314.59
314.159 329.22 314.159 314.802 311.183 314.325
314.159 328.635 314.159 314.247 311.357 314.499
314.159 329.22 314.159 314.802 311.456 314.598
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.63 314.772
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.084 314.226
314.159 329.22 314.159 314.802 311.638 314.78
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.635 314.159 314.247 311.175 314.317
314.159 329.22 314.159 314.802 311.456 314.598
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.049 314.159 313.691 311.44 314.582
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.049 314.159 313.691 311.44 314.582
314.159 329.22 314.159 314.802 311.274 314.416
314.159 329.22 314.159 314.802 311.456 314.598
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.635 314.159 314.247 311.63 314.772
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.635 314.159 314.247 311.266 314.408
314.159 329.22 314.159 314.802 311.456 314.598
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.635 314.159 314.247 311.357 314.499
314.159 329.22 314.159 314.802 312.002 315.144
314.159 329.22 314.159 314.802 311.456 314.598
314.159 329.22 314.159 314.802 311.456 314.598
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.635 314.159 314.247 311.63 314.772
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.635 314.159 314.247 311.084 314.226
314.159 329.22 314.159 314.802 311.82 314.962
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.049 314.159 313.691 310.894 314.036
314.159 329.22 314.159 314.802 311.092 314.234
314.159 329.22 314.159 314.802 311.638 314.78
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.049 314.159 313.691 310.894 314.036
314.159 328.049 314.159 313.691 311.44 314.582
314.159 328.049 314.159 313.691 311.258 314.4
314.159 329.22 314.159 314.802 311.456 314.598
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.635 314.159 314.247 311.266 314.408
314.159 329.22 314.159 314.802 311.456 314.598
314.159 329.22 314.159 314.802 311.638 314.78
314.159 328.049 314.159 313.691 311.622 314.764
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.049 314.159 313.691 311.44 314.582
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.049 314.159 313.691 311.44 314.582
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.635 314.159 314.247 311.448 314.59
314.159 329.22 314.159 314.802 311.638 314.78
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.049 314.159 313.691 310.712 313.854
314.159 328.635 314.159 314.247 311.448 314.59
314.159 329.22 314.159 314.802 311.456 314.598
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.084 314.226
314.159 329.22 314.159 314.802 311.274 314.416
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.635 314.159 314.247 311.63 314.772
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.635 314.159 314.247 311.63 314.772
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.635 314.159 314.247 311.448 314.59
314.159 329.22 314.159 314.802 311.638 314.78
314.159 329.22 314.159 314.802 311.456 314.598
314.159 329.22 314.159 314.802 311.456 314.598
314.159 328.049 314.159 313.691 311.44 314.582
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.049 314.159 313.691 311.076 314.218
314.159 329.22 314.159 314.802 311.456 314.598
314.159 329.22 314.159 314.802 311.456 314.598
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.635 314.159 314.247 311.357 314.499
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.049 314.159 313.691 311.44 314.582
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.635 314.159 314.247 311.266 314.408
314.159 329.22 314.159 314.802 311.638 314.78
314.159 328.049 314.159 313.691 310.894 314.036
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.049 314.159 313.691 311.44 314.582
314.159 328.635 314.159 314.247 311.175 314.317
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.266 314.408
314.159 329.22 314.159 314.802 311.456 314.598
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.635 314.159 314.247 311.084 314.226
314.159 329.22 314.159 314.802 311.638 314.78
314.159 328.049 314.159 313.691 310.712 313.854
314.159 328.049 314.159 313.691 310.894 314.036
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.049 314.159 313.691 311.076 314.218
314.159 329.22 314.159 314.802 311.547 314.689
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.049 314.159 313.691 311.44 314.582
314.159 328.635 314.159 314.247 311.357 314.499
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.049 314.159 313.691 311.258 314.4
314.159 329.22 314.159 314.802 311.82 314.962
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.049 314.159 313.691 310.894 314.036
314.159 329.22 314.159 314.802 311.456 314.598
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.049 314.159 313.691 311.44 314.582
314.159 328.049 314.159 313.691 311.44 314.582
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.049 314.159 313.691 311.44 314.582
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.635 314.159 314.247 311.084 314.226
314.159 329.22 314.159 314.802 311.82 314.962
314.159 328.049 314.159 313.691 310.894 314.036
314.159 329.22 314.159 314.802 311.638 314.78
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.635 314.159 314.247 311.266 314.408
314.159 329.22 314.159 314.802 311.456 314.598
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.049 314.159 313.691 310.894 314.036
314.159 328.635 314.159 314.247 311.266 314.408
314.159 329.22 314.159 314.802 311.638 314.78
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.635 314.159 314.247 311.448 314.59
314.159 329.22 314.159 314.802 311.638 314.78
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.049 314.159 313.691 311.44 314.582
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.049 314.159 313.691 311.44 314.582
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.392 312.588 314.017 311.332 314.474
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.266 314.408
314.159 329.22 314.159 314.802 311.456 314.598
314.159 328.049 314.159 313.691 311.258 314.4
314.159 329.22 314.159 314.802 311.456 314.598
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.635 314.159 314.247 311.266 314.408
314.159 329.22 314.159 314.802 311.456 314.598
314.159 328.635 314.159 314.247 311.63 314.772
314.159 328.049 314.159 313.691 311.258 314.4
314.159 329.22 314.159 314.802 311.456 314.598
314.159 328.049 314.159 313.691 311.44 314.582
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.175 314.317
314.159 328.635 314.159 314.247 311.175 314.317
314.159 328.049 314.159 313.691 311.622 314.764
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.049 314.159 313.691 310.894 314.036
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.049 314.159 313.691 311.44 314.582
314.159 328.049 314.159 313.691 311.44 314.582
314.159 328.049 314.159 313.691 310.894 314.036
314.159 329.22 314.159 314.802 311.82 314.962
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.049 314.159 313.691 311.622 314.764
314.159 328.635 314.159 314.247 311.266 314.408
314.159 329.22 314.159 314.802 311.365 314.507
314.159 328.049 314.159 313.691 310.894 314.036
314.159 329.22 314.159 314.802 311.456 314.598
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.635 314.159 314.247 311.266 314.408
314.159 329.22 314.159 314.802 311.456 314.598
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.049 314.159 313.691 311.44 314.582
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.049 314.159 313.691 311.44 314.582
314.159 328.049 314.159 313.691 311.44 314.582
314.159 328.635 314.159 314.247 311.63 314.772
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.049 314.159 313.691 311.44 314.582
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.049 314.159 313.691 311.44 314.582
314.159 328.049 314.159 313.691 311.44 314.582
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.049 314.159 313.691 311.076 314.218
314.159 329.22 314.159 314.802 311.82 314.962
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.635 314.159 314.247 311.63 314.772
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.049 314.159 313.691 311.44 314.582
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.635 314.159 314.247 311.084 314.226
314.159 329.22 314.159 314.802 311.456 314.598
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.084 314.226
314.159 329.22 314.159 314.802 311.092 314.234
314.159 329.22 314.159 314.802 311.82 314.962
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.049 314.159 313.691 311.44 314.582
314.159 328.392 312.588 314.017 311.332 314.474
314.159 329.22 314.159 314.802 311.638 314.78
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.049 314.159 313.691 311.076 314.218
314.159 329.22 314.159 314.802 311.82 314.962
314.159 329.22 314.159 314.802 311.547 314.689
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.635 314.159 314.247 311.448 314.59
314.159 329.22 314.159 314.802 311.456 314.598
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.049 314.159 313.691 311.44 314.582
314.159 329.22 314.159 314.802 311.365 314.507
314.159 328.635 314.159 314.247 311.448 314.59
314.159 329.22 314.159 314.802 311.456 314.598
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.049 314.159 313.691 311.44 314.582
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.049 314.159 313.691 310.894 314.036
314.159 328.635 314.159 314.247 311.266 314.408
314.159 329.22 314.159 314.802 311.638 314.78
314.159 328.049 314.159 313.691 310.894 314.036
314.159 329.22 314.159 314.802 311.638 314.78
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.049 314.159 313.691 311.076 314.218
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.049 314.159 313.691 311.258 314.4
314.159 328.635 314.159 314.247 311.448 314.59
314.159 328.635 314.159 314.247 311.175 314.317
314.159 328.635 314.159 314.247 311.084 314.226
314.159 328.049 314.159 313.691 311.076 314.218
314.159 329.22 314.159 314.802 311.456 314.598
314.159 329.22 314.159 314.802 311.456 314.598
314.159 328.635 314.159 314.247 311.266 314.408
314.159 328.635 314.159 314.247 311.084 314.226
314.159 329.22 314.159 314.802 311.456 314.598
